status	subject	predicate	object
TP	A_Call_to_Arms	involvesFightWith	Putus_Templar
TP	A_Call_to_Arms	requiresCompleting	The_Earl_of_Omonporch
TP	A_Call_to_Arms	takesPlaceIn	Grit_Gate
TP	Asphodel_Earl_of_Omonporch	hasRace	Sentient_Plant
TP	Asphodel_Earl_of_Omonporch	isHabitantOf	Omonporch
TP	Barathrum_the_Old	hasRace	Urshiib
TP	Barathrum_the_Old	isHabitantOf	Grit_Gate
TP	Barathrumites	hasMember	Golem
TP	Barathrumites	hates	Mechanimists
TP	Decoding_the_Signal	requiresCompleting	More_Than_a_Willing_Spirit
TP	Decoding_the_Signal	takesPlaceIn	Temple_of_the_Rock
TP	Girsh	hates	Mechanimists
TP	Joppa	hasInhabitant	Argyve
TP	Mechanimists	foughtIn	Decoding_the_Signal
TP	Otho	hasRace	Urshiib
TP	Otho	isHabitantOf	Grit_Gate
TP	Otho	memberOf	Barathrumites
TP	Pax_Qlanq	hasRace	Fungi
TP	Pax_Qlanq	isHabitantOf	Rainbow_Wood
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRace	Mutated_Human
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRole	Fighter_Boss
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	isHabitantOf	Temple_of_the_Rock
TP	Reclamation	involvesFightWith	Girsh
TP	Reclamation	requiresCompleting	The_Golem
TP	Sparafucile	hasRace	Urshiib
TP	Sparafucile	isHabitantOf	Grit_Gate
TP	We_Are_Starfreight	requiresCompleting	Reclamation
TP	alchemist	hasRole	Fighter_NonBoss
TP	alchemist	hasRole	Trader_high
TP	alchemist	isHabitantOf	Bethesda_Susa
FP	A_Call_to_Arms	requiresCompleting	A_Canticle_for_Barathrum
FP	A_Call_to_Arms	requiresCompleting	Decoding_the_Signal
FP	A_Canticle_for_Barathrum	requiresCompleting	A_Call_to_Arms
FP	A_Canticle_for_Barathrum	requiresCompleting	Decoding_the_Signal
FP	A_Canticle_for_Barathrum	requiresCompleting	More_Than_a_Willing_Spirit
FP	Argyve	isHabitantOf	Grit_Gate
FP	Argyve	isHabitantOf	Joppa
FP	Baetyl	isHabitantOf	Temple_of_the_Rock
FP	Barathrum_the_Old	hasRace	Fungi
FP	Barathrum_the_Old	hasRace	Robot
FP	Barathrum_the_Old	isHabitantOf	Omonporch
FP	Barathrum_the_Old	isHabitantOf	Rainbow_Wood
FP	Barathrum_the_Old	isHabitantOf	Starfarers_Quay
FP	Barathrumites	foughtIn	A_Call_to_Arms
FP	Barathrumites	foughtIn	A_Canticle_for_Barathrum
FP	Barathrumites	foughtIn	Decoding_the_Signal
FP	Barathrumites	foughtIn	More_Than_a_Willing_Spirit
FP	Barathrumites	foughtIn	The_Earl_of_Omonporch
FP	Barathrumites	hasMember	Argyve
FP	Barathrumites	hasMember	Barathrum_the_Old
FP	Barathrumites	hasMember	Otho
FP	Barathrumites	hates	Barathrumites
FP	Barathrumites	hates	Girsh
FP	Barathrumites	hates	Putus_Templar
FP	Bethesda_Susa	hasInhabitant	alchemist
FP	Decoding_the_Signal	requiresCompleting	A_Call_to_Arms
FP	Decoding_the_Signal	requiresCompleting	A_Canticle_for_Barathrum
FP	Decoding_the_Signal	requiresCompleting	The_Earl_of_Omonporch
FP	Fungi	hasIndividual	Barathrum_the_Old
FP	Fungi	hasIndividual	Pax_Qlanq
FP	Girsh	foughtIn	Reclamation
FP	Girsh	hasMember	Starformed_Ehalcodon
FP	Girsh	hates	Barathrumites
FP	Girsh	hates	Putus_Templar
FP	Golgotha	hostsQuest	More_Than_a_Willing_Spirit
FP	Grit_Gate	hasInhabitant	Argyve
FP	Grit_Gate	hasInhabitant	Barathrum_the_Old
FP	Grit_Gate	hasInhabitant	Otho
FP	Grit_Gate	hasInhabitant	Sparafucile
FP	Grit_Gate	hostsQuest	A_Call_to_Arms
